"","GEOID","var","var_type","value"
"508","13059001900","Ind_const","est",105
"509","13059001900","Ind_edhlth","est",850
"510","13059001900","Ind_finan","est",48
"511","13059001900","Ind_info","est",109
"512","13059001900","Ind_manf","est",107
"513","13059001900","Ind_other","est",14
"514","13059001900","Ind_prof","est",219
"515","13059001900","Ind_pubad","est",77
"516","13059001900","Ind_retail","est",84
"517","13059001900","Ind_trans","est",55
"518","13059001900","Ind_whlsl","est",0
"519","13059001900","Inet_any","est",1350
"520","13059001900","Inet_broad","est",1190
"521","13059001900","Pov_Ov65","est",223
"522","13059001900","Pov_Und18","est",442
"523","13059001900","Rce_AI","est",0
"524","13059001900","Rce_AsnNH","est",31
"525","13059001900","Rce_BlkNH","est",492
"526","13059001900","Rce_Hisp","est",317
"527","13059001900","Rce_HPI","est",0
"528","13059001900","Rce_OthNH","est",0
"529","13059001900","Rce_WhtNH","est",2197
"530","13059001900","Rent30","est",461
"531","13059001900","Sch_grad","est",198
"532","13059001900","Sch_Kpre","est",93
"533","13059001900","Sch_ugrad","est",393
"534","13059001900","Trn_car","est",1190
"535","13059001900","Trn_carpool","est",181
"536","13059001900","Trn_home","est",262
"537","13059001900","Trn_noveh","est",121
"538","13059001900","Trn_pub","est",80
"539","13059001900","Trn_taxi","est",250
"540","13059001900","Trn_walk","est",178
"541","13059002000","Age05","est",116
"542","13059002000","Age18_24","est",218
"543","13059002000","AgeO65","est",272
"544","13059002000","AgeU18","est",404
"545","13059002000","Ed_ba","est",537
"546","13059002000","Ed_hsgrad","est",59
"547","13059002000","Ed_lesshs","est",57
"548","13059002000","Ed_ma","est",248
"549","13059002000","Ed_prof_doc","est",271
"550","13059002000","Ed_somecol","est",276
"551","13059002000","Empl_labor","est",1094
"552","13059002000","Empl_unemp","est",29
"553","13059002000","HInsur_FBNat","est",77
"554","13059002000","HInsur_FBNC","est",68
"555","13059002000","HInsur_Nat","est",1806
"556","13059002000","HousOwn","est",1169
"557","13059002000","HousRent","est",868
"558","13059002000","Inc_10K","est",112
"559","13059002000","Inc_200K","est",107
"560","13059002000","Inc100K_149K","est",144
"561","13059002000","Inc10K_24K","est",159
"562","13059002000","Inc150K_199K","est",134
"563","13059002000","Inc25K_49K","est",159
"564","13059002000","Inc50K_74K","est",107
"565","13059002000","Inc75K_99K","est",64
"566","13059002000","Ind_ag","est",9
"567","13059002000","Ind_arts","est",136
"568","13059002000","Ind_const","est",13
"569","13059002000","Ind_edhlth","est",391
"570","13059002000","Ind_finan","est",92
"571","13059002000","Ind_info","est",23
"572","13059002000","Ind_manf","est",59
"573","13059002000","Ind_other","est",55
"574","13059002000","Ind_prof","est",119
"575","13059002000","Ind_pubad","est",23
"576","13059002000","Ind_retail","est",161
"577","13059002000","Ind_trans","est",10
"578","13059002000","Ind_whlsl","est",26
"579","13059002000","Inet_any","est",868
"580","13059002000","Inet_broad","est",715
"581","13059002000","Pov_Ov65","est",272
"582","13059002000","Pov_Und18","est",404
"583","13059002000","Rce_AI","est",0
"584","13059002000","Rce_AsnNH","est",134
"585","13059002000","Rce_BlkNH","est",99
"586","13059002000","Rce_Hisp","est",58
"587","13059002000","Rce_HPI","est",0
"588","13059002000","Rce_OthNH","est",2
"589","13059002000","Rce_WhtNH","est",1675
"590","13059002000","Rent30","est",231
"591","13059002000","Sch_grad","est",49
"592","13059002000","Sch_Kpre","est",55
"593","13059002000","Sch_ugrad","est",128
"594","13059002000","Trn_car","est",652
"595","13059002000","Trn_carpool","est",69
"596","13059002000","Trn_home","est",265
"597","13059002000","Trn_noveh","est",116
"598","13059002000","Trn_pub","est",19
"599","13059002000","Trn_taxi","est",36
"600","13059002000","Trn_walk","est",46
"601","13059002100","Age05","est",164
"602","13059002100","Age18_24","est",2162
"603","13059002100","AgeO65","est",265
"604","13059002100","AgeU18","est",216
"605","13059002100","Ed_ba","est",495
"606","13059002100","Ed_hsgrad","est",161
"607","13059002100","Ed_lesshs","est",0
"608","13059002100","Ed_ma","est",350
"609","13059002100","Ed_prof_doc","est",321
"610","13059002100","Ed_somecol","est",152
"611","13059002100","Empl_labor","est",1840
"612","13059002100","Empl_unemp","est",147
"613","13059002100","HInsur_FBNat","est",202
"614","13059002100","HInsur_FBNC","est",67
"615","13059002100","HInsur_Nat","est",3866
"616","13059002100","HousOwn","est",947
"617","13059002100","HousRent","est",1968
"618","13059002100","Inc_10K","est",307
"619","13059002100","Inc_200K","est",114
"620","13059002100","Inc100K_149K","est",165
"621","13059002100","Inc10K_24K","est",358
"622","13059002100","Inc150K_199K","est",75
"623","13059002100","Inc25K_49K","est",172
"624","13059002100","Inc50K_74K","est",141
"625","13059002100","Inc75K_99K","est",81
"626","13059002100","Ind_ag","est",0
"627","13059002100","Ind_arts","est",415
"628","13059002100","Ind_const","est",83
