"","GEOID","NAME","variable","estimate","moe","source"
"124","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_048",18,28,"American Community Survey, 5 year sample, 2016-2020"
"125","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01001_049",67,96,"American Community Survey, 5 year sample, 2016-2020"
"126","13059130602","Census Tract 1306.02, Clarke County, Georgia","B01003_001",3167,696,"American Community Survey, 5 year sample, 2016-2020"
"127","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_003",2416,605,"American Community Survey, 5 year sample, 2016-2020"
"128","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_004",204,164,"American Community Survey, 5 year sample, 2016-2020"
"129","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_005",0,14,"American Community Survey, 5 year sample, 2016-2020"
"130","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_006",205,177,"American Community Survey, 5 year sample, 2016-2020"
"131","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_007",0,14,"American Community Survey, 5 year sample, 2016-2020"
"132","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_008",60,96,"American Community Survey, 5 year sample, 2016-2020"
"133","13059130602","Census Tract 1306.02, Clarke County, Georgia","B03002_012",185,137,"American Community Survey, 5 year sample, 2016-2020"
"134","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_001",1448,373,"American Community Survey, 5 year sample, 2016-2020"
"135","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_002",0,14,"American Community Survey, 5 year sample, 2016-2020"
"136","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_006",1082,300,"American Community Survey, 5 year sample, 2016-2020"
"137","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_011",146,109,"American Community Survey, 5 year sample, 2016-2020"
"138","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_016",0,14,"American Community Survey, 5 year sample, 2016-2020"
"139","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_021",0,14,"American Community Survey, 5 year sample, 2016-2020"
"140","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_026",0,14,"American Community Survey, 5 year sample, 2016-2020"
"141","13059130602","Census Tract 1306.02, Clarke County, Georgia","B08141_031",220,147,"American Community Survey, 5 year sample, 2016-2020"
"142","13059130602","Census Tract 1306.02, Clarke County, Georgia","B14007_001",3054,679,"American Community Survey, 5 year sample, 2016-2020"
"143","13059130602","Census Tract 1306.02, Clarke County, Georgia","B14007_003",75,90,"American Community Survey, 5 year sample, 2016-2020"
"144","13059130602","Census Tract 1306.02, Clarke County, Georgia","B14007_004",0,14,"American Community Survey, 5 year sample, 2016-2020"
"145","13059130602","Census Tract 1306.02, Clarke County, Georgia","B14007_017",894,491,"American Community Survey, 5 year sample, 2016-2020"
"146","13059130602","Census Tract 1306.02, Clarke County, Georgia","B14007_018",206,190,"American Community Survey, 5 year sample, 2016-2020"
"147","13059130602","Census Tract 1306.02, Clarke County, Georgia","B15003_001",1774,379,"American Community Survey, 5 year sample, 2016-2020"
"148","13059130602","Census Tract 1306.02, Clarke County, Georgia","B15003_022",493,179,"American Community Survey, 5 year sample, 2016-2020"
"149","13059130602","Census Tract 1306.02, Clarke County, Georgia","B15003_023",247,127,"American Community Survey, 5 year sample, 2016-2020"
"150","13059130602","Census Tract 1306.02, Clarke County, Georgia","B15003_024",42,47,"American Community Survey, 5 year sample, 2016-2020"
"151","13059130602","Census Tract 1306.02, Clarke County, Georgia","B15003_025",185,112,"American Community Survey, 5 year sample, 2016-2020"
"152","13059130602","Census Tract 1306.02, Clarke County, Georgia","B16010_001",1774,379,"American Community Survey, 5 year sample, 2016-2020"
"153","13059130602","Census Tract 1306.02, Clarke County, Georgia","B16010_002",0,14,"American Community Survey, 5 year sample, 2016-2020"
"154","13059130602","Census Tract 1306.02, Clarke County, Georgia","B16010_015",371,219,"American Community Survey, 5 year sample, 2016-2020"
"155","13059130602","Census Tract 1306.02, Clarke County, Georgia","B16010_028",436,201,"American Community Survey, 5 year sample, 2016-2020"
"156","13059130602","Census Tract 1306.02, Clarke County, Georgia","B17020_001",3167,696,"American Community Survey, 5 year sample, 2016-2020"
"157","13059130602","Census Tract 1306.02, Clarke County, Georgia","B17020_002",1266,651,"American Community Survey, 5 year sample, 2016-2020"
"158","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_001",1269,260,"American Community Survey, 5 year sample, 2016-2020"
"159","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_002",170,179,"American Community Survey, 5 year sample, 2016-2020"
"160","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_003",73,92,"American Community Survey, 5 year sample, 2016-2020"
"161","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_004",62,71,"American Community Survey, 5 year sample, 2016-2020"
"162","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_005",59,77,"American Community Survey, 5 year sample, 2016-2020"
"163","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_006",136,120,"American Community Survey, 5 year sample, 2016-2020"
"164","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_007",94,110,"American Community Survey, 5 year sample, 2016-2020"
"165","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_008",40,45,"American Community Survey, 5 year sample, 2016-2020"
"166","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_009",14,21,"American Community Survey, 5 year sample, 2016-2020"
"167","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_010",19,30,"American Community Survey, 5 year sample, 2016-2020"
"168","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_011",92,68,"American Community Survey, 5 year sample, 2016-2020"
"169","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_012",125,111,"American Community Survey, 5 year sample, 2016-2020"
"170","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_013",65,60,"American Community Survey, 5 year sample, 2016-2020"
"171","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_014",59,68,"American Community Survey, 5 year sample, 2016-2020"
"172","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_015",63,61,"American Community Survey, 5 year sample, 2016-2020"
"173","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_016",90,72,"American Community Survey, 5 year sample, 2016-2020"
"174","13059130602","Census Tract 1306.02, Clarke County, Georgia","B19001_017",108,75,"American Community Survey, 5 year sample, 2016-2020"
"175","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25001_001",1368,249,"American Community Survey, 5 year sample, 2016-2020"
"176","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25008_001",3167,696,"American Community Survey, 5 year sample, 2016-2020"
"177","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25008_002",1546,424,"American Community Survey, 5 year sample, 2016-2020"
"178","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25008_003",1621,719,"American Community Survey, 5 year sample, 2016-2020"
"179","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25070_001",630,267,"American Community Survey, 5 year sample, 2016-2020"
"180","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25070_007",33,36,"American Community Survey, 5 year sample, 2016-2020"
"181","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25070_008",30,47,"American Community Survey, 5 year sample, 2016-2020"
"182","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25070_009",123,118,"American Community Survey, 5 year sample, 2016-2020"
"183","13059130602","Census Tract 1306.02, Clarke County, Georgia","B25070_010",174,144,"American Community Survey, 5 year sample, 2016-2020"
"184","13059130602","Census Tract 1306.02, Clarke County, Georgia","B27003_009",569,461,"American Community Survey, 5 year sample, 2016-2020"
"185","13059130602","Census Tract 1306.02, Clarke County, Georgia","B27003_037",664,400,"American Community Survey, 5 year sample, 2016-2020"
"186","13059130602","Census Tract 1306.02, Clarke County, Georgia","B27020_003",2624,659,"American Community Survey, 5 year sample, 2016-2020"
"187","13059130602","Census Tract 1306.02, Clarke County, Georgia","B27020_009",121,137,"American Community Survey, 5 year sample, 2016-2020"
"188","13059130602","Census Tract 1306.02, Clarke County, Georgia","B27020_014",75,94,"American Community Survey, 5 year sample, 2016-2020"
"189","13059130602","Census Tract 1306.02, Clarke County, Georgia","B28011_001",1269,260,"American Community Survey, 5 year sample, 2016-2020"
"190","13059130602","Census Tract 1306.02, Clarke County, Georgia","B28011_002",1166,263,"American Community Survey, 5 year sample, 2016-2020"
"191","13059130602","Census Tract 1306.02, Clarke County, Georgia","B28011_004",1038,258,"American Community Survey, 5 year sample, 2016-2020"
