School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERBARRI,12.5,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERBARRI,28.169,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERBARRI,26.724,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERBARRI,13.333,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERBARRI,25.424,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERBARRI,17.986,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERAFFOR,3.987,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERAFFOR,4.688,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERAFFOR,5.913,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERAFFOR,5.357,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERAFFOR,5.474,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERAFFOR,0.943,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERAFFOR,6.299,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERAFFOR,10.443,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERAFFOR,10.615,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERAFFOR,3.226,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERAFFOR,7.237,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERAFFOR,0.939,-99
