School,acc_naics1,D1,D2,D3
Cleveland Road,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8917155058818829,1.0327199270702843,1.7503020484836735
Fowler Drive,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.1915614469874303,1.7683855631363574,2.4810247111223775
Gaines,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.1683653636934634,1.3341990783754467,1.7713045431451298
Howard B Stroud,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.6677019744357803,0.7904360478659808,2.328269325567136
Judia Jackson Harris,AUTOMOTIVE PARTS AND ACCESSORIES STORES,0.8681692673488026,1.1746158636647148,3.1462244375349564
Oglethorpe,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.4292486351574047,1.8199350056428873,2.1174460322549447
Timothy Rd.,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.0677448474471511,1.4997630125998975,1.9344851893495978
Whit Davis,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.100659181746655,2.52434468570309,2.9627499130088535
Whitehead Rd.,AUTOMOTIVE PARTS AND ACCESSORIES STORES,2.5118781267704455,2.823660919568385,3.0128714544258197
Winterville,AUTOMOTIVE PARTS AND ACCESSORIES STORES,1.733524348756413,2.2178456021367143,3.0855207453392937
Alps Road,BEER AND WINE ON PREMISES/SUNDAY,0.37244744428377824,0.6472052299135702,0.8100155889475333
Barnett Shoals,BEER AND WINE ON PREMISES/SUNDAY,1.102717892434012,1.3643823106032833,1.4794335121516946
Barrow,BEER AND WINE ON PREMISES/SUNDAY,0.6820032285995336,0.984979565916301,1.1436199900548454
Chase Street,BEER AND WINE ON PREMISES/SUNDAY,0.42842688792373923,0.5514440871170908,0.7734760914365718
Choice Zone-East,BEER AND WINE ON PREMISES/SUNDAY,0.8337358578907097,0.8350253823919273,0.851637490240453
Choice Zone-West,BEER AND WINE ON PREMISES/SUNDAY,2.5531264284664985,2.7330880311697765,3.2238201873815777
Cleveland Road,BEER AND WINE ON PREMISES/SUNDAY,3.1816187162126157,4.2962005169549276,4.3674749300890925
Fowler Drive,BEER AND WINE ON PREMISES/SUNDAY,2.789832576153295,2.8050586156874315,2.9012515385183817
Gaines,BEER AND WINE ON PREMISES/SUNDAY,0.8794213243519897,0.9166006908898756,0.9821061759884726
Howard B Stroud,BEER AND WINE ON PREMISES/SUNDAY,1.3005474647837736,1.3141543827210924,1.4208603649874672
Judia Jackson Harris,BEER AND WINE ON PREMISES/SUNDAY,4.6886837303867654,4.697602098433574,4.831849766778251
Oglethorpe,BEER AND WINE ON PREMISES/SUNDAY,1.5453642246695116,2.072094056795173,2.2618137890460503
Timothy Rd.,BEER AND WINE ON PREMISES/SUNDAY,1.149789960347037,1.9915819022284975,2.0853498719098598
Whit Davis,BEER AND WINE ON PREMISES/SUNDAY,2.3771397588501704,2.4322492609551802,2.4442243393675875
Whitehead Rd.,BEER AND WINE ON PREMISES/SUNDAY,2.580185824857023,2.8210424101190195,2.9698544853298574
Winterville,BEER AND WINE ON PREMISES/SUNDAY,3.02258476394421,3.0252447786293764,3.0549029793539066
Alps Road,BEER/WINE PKG/SUNDAY SALES,0.29912622516659354,0.5049382021614465,0.6584181578821723
Barnett Shoals,BEER/WINE PKG/SUNDAY SALES,0.8092150881747981,0.8930610858742413,1.100761123053073
Barrow,BEER/WINE PKG/SUNDAY SALES,0.3795001549973254,0.5211475082462148,0.6448500101055996
Chase Street,BEER/WINE PKG/SUNDAY SALES,0.3324769597666722,0.47545253554432393,0.5914914564558581
Choice Zone-East,BEER/WINE PKG/SUNDAY SALES,0.4790881818743175,0.5697018538070551,0.6536725456868224
Choice Zone-West,BEER/WINE PKG/SUNDAY SALES,0.7772347804290164,0.9374430057734368,1.0804052352395548
Cleveland Road,BEER/WINE PKG/SUNDAY SALES,0.9064989944457058,0.9936342868595587,1.286773347788029
Fowler Drive,BEER/WINE PKG/SUNDAY SALES,0.6506952530161128,0.9541853603288017,1.0806966140564997
Gaines,BEER/WINE PKG/SUNDAY SALES,0.5388994588647216,0.5900473981358687,0.8182149134086575
Howard B Stroud,BEER/WINE PKG/SUNDAY SALES,0.5419269171741308,0.6855630179904431,0.7881214554561881
Judia Jackson Harris,BEER/WINE PKG/SUNDAY SALES,0.8393650924082721,1.1310668396637829,1.5704023269797276
