OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
41,13,75300,02405564,1375300,Tallapoosa,Tallapoosa city,25,C1,N,N,G4110,A,25972735.000000000000000,71020.000000000000000,+33.7366555,-085.2873580
42,13,12988,02403987,1312988,Canton,Canton city,25,C1,N,N,G4110,A,47466286.000000000000000,1822141.000000000000000,+34.2472008,-084.4907229
43,13,53172,02404331,1353172,Mountain Park,Mountain Park city,25,C1,N,N,G4110,A,1195602.000000000000000,177448.000000000000000,+34.0830346,-084.4136353
44,13,49756,02405019,1349756,Marietta,Marietta city,25,C1,Y,N,G4110,A,60741408.000000000000000,201436.000000000000000,+33.9535613,-084.5424631
45,13,62524,02404565,1362524,Powder Springs,Powder Springs city,25,C1,N,N,G4110,A,19232867.000000000000000,31839.000000000000000,+33.8654278,-084.6825718
46,13,71492,02405479,1371492,Smyrna,Smyrna city,25,C1,N,N,G4110,A,40308196.000000000000000,113688.000000000000000,+33.8625591,-084.5161203
47,13,04000,02403126,1304000,Atlanta,Atlanta city,25,C1,Y,N,G4110,A,350476504.000000000000000,2565326.000000000000000,+33.7629088,-084.4226745
48,13,22052,02404208,1322052,Decatur,Decatur city,25,C1,N,N,G4110,A,11905801.000000000000000,13321.000000000000000,+33.7710674,-084.2957837
49,13,69784,02407317,1369784,Shady Dale,Shady Dale town,43,C1,N,N,G4110,A,2291964.000000000000000,7479.000000000000000,+33.4014800,-083.5872706
50,13,19336,02404121,1319336,Conyers,Conyers city,25,C1,N,N,G4110,A,30458970.000000000000000,322280.000000000000000,+33.6665360,-083.9976847
51,13,21184,02404173,1321184,Dacula,Dacula city,25,C1,N,N,G4110,A,14026365.000000000000000,81710.000000000000000,+33.9818832,-083.9009839
52,13,46356,02404927,1346356,Lilburn,Lilburn city,25,C1,N,N,G4110,A,17606723.000000000000000,134676.000000000000000,+33.8906396,-084.1368720
53,13,19168,02404116,1319168,Concord,Concord city,25,C1,N,N,G4110,A,2179133.000000000000000,23945.000000000000000,+33.0921289,-084.4388440
54,13,50596,02405060,1350596,Meansville,Meansville city,25,C1,N,N,G4110,A,1298519.000000000000000,57225.000000000000000,+33.0514492,-084.3104591
55,13,52108,02404280,1352108,Molena,Molena city,25,C1,N,N,G4110,A,4849418.000000000000000,39884.000000000000000,+33.0140837,-084.5070633
56,13,83084,02405748,1383084,Williamson,Williamson city,25,C1,N,N,G4110,A,3389291.000000000000000,9293.000000000000000,+33.1782736,-084.3575748
57,13,85128,02405075,1385128,Zebulon,Zebulon city,25,C1,N,N,G4110,A,12259328.000000000000000,213092.000000000000000,+33.0909958,-084.3394672
58,13,51670,02404269,1351670,Milton,Milton city,25,C1,N,N,G4110,A,99724927.000000000000000,1562888.000000000000000,+34.1443247,-084.3141882
59,13,00408,02403059,1300408,Acworth,Acworth city,25,C1,N,N,G4110,A,23543998.000000000000000,1811041.000000000000000,+34.0619906,-084.6811215
60,13,39524,02404716,1339524,Holly Springs,Holly Springs city,25,C1,N,N,G4110,A,18621170.000000000000000,260589.000000000000000,+34.1672344,-084.4844687
61,13,49196,02404991,1349196,Madison,Madison city,25,C1,N,N,G4110,A,22749171.000000000000000,190823.000000000000000,+33.5790376,-083.4759715
62,13,72122,02786574,1372122,South Fulton,South Fulton city,25,C1,N,N,G4110,A,220707409.000000000000000,2689509.000000000000000,+33.6604739,-084.5748911
63,13,13492,02404000,1313492,Carrollton,Carrollton city,25,C1,N,N,G4110,A,58245593.000000000000000,1451093.000000000000000,+33.5816900,-085.0839828
64,13,66696,02407240,1366696,Roopville,Roopville town,43,C1,N,N,G4110,A,2045226.000000000000000,0.000000000000000,+33.4566385,-085.1304074
65,13,77652,02783946,1377652,Tucker,Tucker city,25,C1,N,N,G4110,A,52328674.000000000000000,340267.000000000000000,+33.8451686,-084.2020848
66,13,41596,02404778,1341596,Jackson,Jackson city,25,C1,N,N,G4110,A,15743181.000000000000000,44195.000000000000000,+33.2923593,-083.9678463
67,13,79808,02405657,1379808,Waco,Waco city,25,C1,N,N,G4110,A,4753557.000000000000000,0.000000000000000,+33.7026003,-085.1892444
68,13,28968,02403603,1328968,Fayetteville,Fayetteville city,25,C1,N,N,G4110,A,33575755.000000000000000,562341.000000000000000,+33.4490992,-084.4728242
69,13,59724,02404494,1359724,Peachtree City,Peachtree City city,25,C1,N,N,G4110,A,65096305.000000000000000,2344347.000000000000000,+33.3918870,-084.5706555
70,13,78044,02406772,1378044,Tyrone,Tyrone town,43,C1,N,N,G4110,A,32389286.000000000000000,971976.000000000000000,+33.4760589,-084.5945221
71,13,30536,02403636,1330536,Forest Park,Forest Park city,25,C1,N,N,G4110,A,24111918.000000000000000,156658.000000000000000,+33.6205430,-084.3581811
72,13,65464,02404624,1365464,Riverdale,Riverdale city,25,C1,N,N,G4110,A,11443697.000000000000000,11387.000000000000000,+33.5638689,-084.4109587
73,13,69980,02407323,1369980,Sharpsburg,Sharpsburg town,43,C1,N,N,G4110,A,2509759.000000000000000,17585.000000000000000,+33.3371112,-084.6509107
74,13,05036,02403151,1305036,Ball Ground,Ball Ground city,25,C1,N,N,G4110,A,16343748.000000000000000,92250.000000000000000,+34.3390756,-084.3681724
75,13,84176,02405788,1384176,Woodstock,Woodstock city,25,C1,N,N,G4110,A,32526661.000000000000000,279614.000000000000000,+34.1031395,-084.5129970
